symbol,window_start,condition_id,timestamp,side,outcome,size,price,usd_value,trader_wallet,trader_name,tx_hash
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455141,SELL,Down,7.38,0.99,7.3062,0xf241c99167aa0b2bea1649dc6035a40fe89c69a5,Yesnoaiv1,0xf6236b018fbf8ebc1edca75c15e5b380aaef6aa0d5003fb741f00a3eda9ee352
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455139,SELL,Down,10.0,0.99,9.9,0xc4fb581804a37aec972762e8f415657919effe36,0xsherlockX,0x8408a626c712af535bf8c52aedf3064ae8a4317a15018f66c85d6f77f1a74101
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455109,SELL,Down,43.47,0.99,43.0353,0xc59607aa230e2f608e88d9d98ef63062a7d04368,DereckPoo,0x57591f666db91d27ee8f57bee5a56de239c807500a8a45bca6743207249555b8
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455109,SELL,Down,32.0,0.99,31.68,0xf78bff420e49c31b05ffb5fd0bbc6c40ffd58548,0x5x,0xc071a724c61ac937022c94f9bf4862b1013a1e0254583ac5c28de85efa607fdf
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455105,SELL,Down,27.83,0.99,27.551699999999997,0x087e3a07080ca7400f94b33b09098c93a919ddfc,price52,0x8d7478c19c5d09b6ed5477934f790c90bf570bddadde538ed2dd950791bd3a9a
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455093,SELL,Down,19.23,0.99,19.0377,0x21b420f59148daad2dabcfc5cc79b05cc0490aa5,,0x83a7df99f423592cd10f7700afcee48ca420befd2c6efdcc3cc6b7c1b5a05b0f
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455091,BUY,Up,1000.0,0.01,10.0,0x9aa2134a299ced562b3baff2a7de49233554064b,CashTrader,0x4215a9d767c083b960ab4e3a08a9c2813c62b2d50feac2f496e2deeff53b3a84
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455091,SELL,Down,5.0,0.99,4.95,0x89979761c550b4d9b7d1ef26836731545040b5f3,0x89979761c550B4D9b7d1eF26836731545040b5f3-1764346867239,0x68149a96f081f303d4ed960b9c6860a3aeed0f32f2c62f8360867cc1bb6d6962
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455079,BUY,Up,200.0,0.01,2.0,0x4d22fad2ffb0fffad7d0dff638fb0bb092acb04d,,0xc56e6d3904954b3ef5bce22c961c7e44d9ae7724baabc314bf601e6938466e4e
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455073,BUY,Up,6.25,0.01,0.0625,0x461f4f974994bd480fe5b214b4b3849b36de1ecf,0x461F4F974994BD480fE5b214b4B3849B36de1ecF-1766286825885,0x5008fa9bf72195155069b02cdc26f74bd132d635fb905131abc4594917bc79bf
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455063,SELL,Down,50.0,0.99,49.5,0x177163c81cbeb87643b9402561a13d77dc7a047d,Liezhuang,0x1e5f13c1faeec5e7c80614a1178b15942b95ef7e47a42b429263a7440e4ba86a
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455049,SELL,Down,1.92,0.99,1.9007999999999998,0x471ecc0346cb7c6369f92323990c164d49bf2bd4,0xdoichantran,0x20ac48ffa5575b8c95ee2e61944b9dce252809e0bdba728723981314c6dc4cd4
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455047,SELL,Down,5.0,0.99,4.95,0x88257ac90eea7929230db411896504f59ea1a4d6,,0x33e5758cd1c78e2b3eebfd073c88001349c5f75f61726aadd58d8e68d9b9cbc9
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455045,SELL,Down,10.0,0.99,9.9,0x6968f86c3bb4c6edca53fe3c69f774bf3fdd6ef7,0x6968f86C3BB4C6Edca53fe3c69F774bF3FdD6Ef7-1765890578369,0x1b6d65431570cf3a8c0d67936068d8279b1a47d68df981351ab1560d2f173e37
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455045,SELL,Down,5.0,0.99,4.95,0x88257ac90eea7929230db411896504f59ea1a4d6,,0x37c6988f261987f08608f686ba355325cc3ce8041e64fcdd90659c0298279910
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455041,SELL,Down,147.9,0.99,146.421,0xf6b4b1c1cd4cda1dfeb5bd5071bf09c097c5f756,hy4,0x86ecec5f7d60ba0c120e4169754833e07b8aba24fc08cfd2acd29b64638d3b9a
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455041,SELL,Down,1.06,0.99,1.0494,0x88b77e17fd90c552524d6a75a2789c4aa3f9e433,rcj111,0x7617e337c36885c958eadb3b33d32659ead2ff94510c226b925f802d71101b65
BTC,1767454200,0xdf573f3e89b872a3fb2987757f8217f9a6e8b3c45feaa896009d971be11a3a52,1767455039,SELL,Down,300.99,0.99,297.9801,0x6c0a7716f77fcfcfa9785389ec9df173abf1c1d9,firexnow,0x80c4595a6a8d794a81cc025186ff6f6375e2f9ba0edfda6d35bb480bb7fe304e
